date,state,temp_high_f,temp_low_f,precipitation_in,snow_in,condition
2023-01-18,AR,78.5,33.1,0.0,0.0,cloudy
2023-01-18,AZ,94.0,22.8,0.0,0.39,snowy
2023-01-18,TN,87.5,44.3,0.14,0.43,sunny
2023-01-18,WA,70.7,50.0,0.34,0.36,partly_cloudy
2023-01-18,CT,49.3,59.6,0.0,0.32,partly_cloudy
2023-01-18,CA,93.8,58.6,0.0,0.0,sunny
2023-01-19,HI,87.1,27.8,0.03,1.1,rainy
2023-01-19,NY,29.3,33.0,0.0,0.0,snowy
2023-01-19,SC,53.9,73.5,0.0,0.34,snowy
2023-01-19,MP,73.0,32.9,0.22,0.0,snowy
2023-01-19,AR,79.4,27.8,0.22,0.0,partly_cloudy
2023-01-19,AZ,57.7,18.4,0.31,0.73,rainy
2023-01-19,TN,46.2,42.4,0.39,0.47,partly_cloudy
2023-01-19,WA,90.7,71.9,0.0,0.05,cloudy
2023-01-19,CT,52.7,37.7,0.06,0.34,cloudy
2023-01-19,CA,37.7,85.6,0.76,0.0,rainy
2023-01-20,HI,123.9,33.7,0.0,0.0,snowy
2023-01-20,NY,69.7,54.0,0.5,0.0,cloudy
2023-01-20,SC,71.8,69.6,0.0,0.38,snowy
2023-01-20,MP,78.2,54.7,0.6,0.0,sunny
2023-01-20,AR,35.9,59.2,0.17,0.55,cloudy
2023-01-20,AZ,65.5,40.2,0.27,0.0,partly_cloudy
2023-01-20,TN,50.2,23.1,0.3,0.05,sunny
2023-01-20,WA,78.6,-0.4,0.0,0.01,snowy
2023-01-20,CT,72.8,84.5,0.63,0.32,partly_cloudy
2023-01-20,CA,60.3,42.9,0.02,0.43,sunny
2023-01-21,HI,57.7,42.7,0.99,0.42,snowy
2023-01-21,NY,67.2,61.8,0.23,0.0,cloudy
2023-01-21,SC,61.4,30.3,0.0,0.0,sunny
2023-01-21,MP,74.3,49.2,0.43,0.0,cloudy
2023-01-21,AR,69.3,19.3,0.17,0.0,sunny
2023-01-21,AZ,49.1,39.8,0.0,0.0,sunny
2023-01-21,TN,32.4,58.5,0.0,0.0,snowy
2023-01-21,WA,88.3,57.7,0.0,0.38,cloudy
2023-01-21,CT,37.1,92.5,0.56,0.06,partly_cloudy
2023-01-21,CA,126.6,62.9,0.0,0.0,cloudy
2023-01-22,HI,95.4,52.5,0.19,0.0,rainy
2023-01-22,NY,100.4,69.6,0.13,0.0,sunny
2023-01-22,SC,103.2,54.6,0.0,1.16,rainy
2023-01-22,MP,76.5,57.2,0.18,0.0,sunny
2023-01-22,AR,64.8,53.1,0.25,0.1,cloudy
2023-01-22,AZ,80.0,35.1,0.22,0.0,cloudy
2023-01-22,TN,87.5,64.7,0.33,0.0,cloudy
2023-01-22,WA,95.3,59.6,0.45,0.0,rainy
2023-01-22,CT,120.3,61.4,0.54,0.0,rainy
2023-01-22,CA,78.0,33.0,0.44,0.09,rainy
2023-01-23,HI,67.6,48.0,0.18,0.0,snowy
2023-01-23,NY,84.8,49.0,0.03,0.0,partly_cloudy
2023-01-23,SC,64.5,60.8,0.47,0.0,snowy
2023-01-23,MP,62.3,45.7,0.0,0.0,partly_cloudy
2023-01-23,AR,50.9,41.8,0.14,0.39,snowy
2023-01-23,AZ,85.9,34.9,0.0,0.0,partly_cloudy
2023-01-23,TN,51.4,52.8,0.0,0.0,cloudy
2023-01-23,WA,25.6,43.9,0.72,0.0,sunny
2023-01-23,CT,82.2,64.3,0.0,0.97,partly_cloudy
2023-01-23,CA,95.2,51.8,0.51,0.04,partly_cloudy
2023-01-24,HI,100.8,54.3,0.77,0.0,partly_cloudy
2023-01-24,NY,91.7,67.5,0.21,0.0,partly_cloudy
2023-01-24,SC,53.3,48.3,0.28,0.75,sunny
2023-01-24,MP,73.4,33.0,0.8,0.21,sunny
2023-01-24,AR,74.9,51.4,0.0,0.12,snowy
2023-01-24,AZ,60.9,34.5,0.0,0.75,snowy
2023-01-24,TN,76.8,62.7,0.18,0.53,cloudy
2023-01-24,WA,63.5,69.0,0.08,0.14,partly_cloudy
2023-01-24,CT,116.9,17.3,0.43,0.64,snowy
2023-01-24,CA,79.3,39.9,0.77,0.0,sunny
2023-01-25,HI,93.4,52.6,0.0,0.0,rainy
2023-01-25,NY,108.5,60.6,0.0,0.9,partly_cloudy
2023-01-25,SC,28.4,60.2,0.0,0.0,partly_cloudy
2023-01-25,MP,105.5,48.8,0.0,0.05,cloudy
2023-01-25,AR,76.5,57.1,0.13,0.0,cloudy
2023-01-25,AZ,63.6,25.8,0.0,0.37,cloudy
2023-01-25,TN,55.1,37.5,0.0,0.41,sunny
2023-01-25,WA,100.4,84.7,0.09,0.0,cloudy
2023-01-25,CT,51.7,46.4,0.0,0.43,rainy
2023-01-25,CA,63.3,47.6,0.0,0.0,rainy
2023-01-26,HI,63.8,41.7,0.0,0.5,partly_cloudy
2023-01-26,NY,48.1,46.8,0.0,1.36,sunny
2023-01-26,SC,93.7,66.4,0.35,0.0,snowy
2023-01-26,MP,72.9,54.7,0.57,0.34,rainy
2023-01-26,AR,83.4,43.4,0.3,0.31,sunny
2023-01-26,AZ,68.3,2.6,0.77,0.0,rainy
2023-01-26,TN,50.0,39.5,0.0,0.36,snowy
2023-01-26,WA,57.6,86.2,0.21,0.1,partly_cloudy
2023-01-26,CT,70.1,59.5,0.42,0.0,rainy
2023-01-26,CA,32.6,55.2,0.49,0.0,snowy
2023-01-27,HI,97.0,70.0,0.2,0.0,cloudy
2023-01-27,NY,95.4,47.8,0.02,0.0,partly_cloudy
2023-01-27,SC,83.4,41.1,0.0,0.59,rainy
2023-01-27,MP,74.6,66.7,0.33,0.0,sunny
2023-01-27,AR,51.5,24.4,0.52,0.0,rainy
2023-01-27,AZ,81.3,26.5,0.0,0.0,partly_cloudy
2023-01-27,TN,78.2,34.8,0.17,0.0,sunny
2023-01-27,WA,70.2,52.9,0.01,0.0,cloudy
2023-01-27,CT,93.4,33.7,0.13,1.1,partly_cloudy
2023-01-27,CA,98.1,66.0,0.0,0.0,rainy
2023-01-28,HI,105.6,27.2,0.06,0.0,partly_cloudy
2023-01-28,NY,47.1,33.7,0.0,0.0,sunny
2023-01-28,SC,92.0,18.8,0.02,0.0,cloudy
2023-01-28,MP,29.6,31.3,0.0,0.0,rainy
2023-01-28,AR,100.1,61.8,0.21,0.0,partly_cloudy
2023-01-28,AZ,51.0,59.9,0.2,0.13,partly_cloudy
2023-01-28,TN,87.4,50.3,0.01,0.21,sunny
2023-01-28,WA,103.1,-1.1,0.27,0.0,partly_cloudy
2023-01-28,CT,86.1,28.6,0.04,0.12,cloudy
2023-01-28,CA,56.8,45.3,0.13,0.54,snowy
2023-01-29,HI,85.5,37.8,0.0,0.0,sunny
2023-01-29,NY,100.1,36.1,0.0,0.02,sunny
2023-01-29,SC,62.3,36.0,0.0,0.0,cloudy
2023-01-29,MP,37.6,47.2,0.14,0.0,snowy
2023-01-29,AR,78.3,55.7,0.19,0.0,partly_cloudy
2023-01-29,AZ,66.2,87.2,0.0,0.0,cloudy
2023-01-29,TN,117.6,22.0,0.58,1.3,sunny
2023-01-29,WA,100.9,78.2,0.5,0.29,cloudy
2023-01-29,CT,101.7,41.6,0.23,0.66,rainy
2023-01-29,CA,85.0,42.6,0.0,0.79,partly_cloudy
2023-01-30,HI,80.2,87.0,0.61,0.87,partly_cloudy
2023-01-30,NY,55.3,57.1,0.0,0.0,snowy
2023-01-30,SC,88.7,21.8,0.44,0.0,snowy
2023-01-30,MP,52.4,52.8,0.29,0.0,rainy
2023-01-30,AR,74.4,66.9,0.02,0.44,rainy
2023-01-30,AZ,80.0,50.0,0.0,0.0,cloudy
2023-01-30,TN,75.3,69.3,0.04,0.61,snowy
2023-01-30,WA,69.6,74.4,0.0,0.29,cloudy
2023-01-30,CT,56.1,29.6,0.0,0.34,cloudy
2023-01-30,CA,74.7,49.3,0.07,0.57,snowy
2023-01-31,HI,73.5,59.5,0.1,0.27,partly_cloudy
2023-01-31,NY,54.4,59.4,0.62,0.16,partly_cloudy
2023-01-31,SC,111.0,55.2,0.14,0.0,snowy
2023-01-31,MP,80.5,16.7,0.28,0.3,cloudy
2023-01-31,AR,81.1,53.2,0.0,0.08,snowy
2023-01-31,AZ,88.7,32.0,0.07,0.47,cloudy
2023-01-31,TN,51.9,47.7,0.39,1.04,cloudy
2023-01-31,WA,63.4,45.1,0.13,0.23,snowy
2023-01-31,CT,54.0,45.3,0.04,0.0,snowy
2023-01-31,CA,79.1,32.2,0.63,1.57,rainy
2023-02-01,HI,80.0,123.2,0.32,0.0,partly_cloudy
2023-02-01,NY,80.9,44.6,0.17,0.38,snowy
2023-02-01,SC,70.5,38.3,0.53,0.0,snowy
2023-02-01,MP,37.3,87.2,0.07,0.05,snowy
2023-02-01,AR,88.4,60.5,0.47,0.0,rainy
2023-02-01,AZ,80.8,33.6,0.0,0.0,sunny
2023-02-01,TN,64.0,48.8,0.0,0.83,cloudy
2023-02-01,WA,59.2,46.5,0.27,0.0,cloudy
2023-02-01,CT,59.9,84.1,0.0,0.43,sunny
2023-02-01,CA,86.4,66.7,0.8,0.0,sunny
2023-02-02,HI,68.8,31.3,0.26,0.43,cloudy
2023-02-02,NY,96.3,32.0,0.0,0.0,cloudy
2023-02-02,SC,70.3,65.3,0.69,0.0,sunny
2023-02-02,MP,54.2,48.1,0.0,0.77,partly_cloudy
2023-02-02,AR,84.0,34.3,0.0,0.0,partly_cloudy
2023-02-02,AZ,28.0,62.9,0.13,0.0,rainy
2023-02-02,TN,44.0,61.1,0.0,0.09,sunny
2023-02-02,WA,93.8,51.1,0.28,0.0,partly_cloudy
2023-02-02,CT,66.8,70.8,0.0,0.13,sunny
2023-02-02,CA,84.0,77.5,0.14,0.74,rainy
2023-02-03,HI,78.2,40.0,0.31,0.0,snowy
2023-02-03,NY,68.8,40.9,0.0,0.0,rainy
2023-02-03,SC,93.9,63.0,0.0,0.0,partly_cloudy
2023-02-03,MP,49.9,44.4,0.0,0.23,partly_cloudy
2023-02-03,AR,42.2,82.1,0.0,0.0,cloudy
2023-02-03,AZ,51.2,69.1,0.0,0.0,sunny
2023-02-03,TN,80.9,50.3,0.15,0.0,snowy
2023-02-03,WA,69.8,60.8,0.0,0.26,partly_cloudy
2023-02-03,CT,70.4,60.8,0.04,0.0,snowy
2023-02-03,CA,98.8,26.1,0.38,0.09,partly_cloudy
2023-02-04,HI,72.7,62.0,0.0,0.72,partly_cloudy
2023-02-04,NY,83.0,25.5,0.4,0.76,sunny
2023-02-04,SC,75.9,64.0,0.21,0.0,partly_cloudy
2023-02-04,MP,45.5,58.9,0.07,0.25,rainy
2023-02-04,AR,77.1,21.9,0.18,0.0,sunny
2023-02-04,AZ,35.3,41.6,0.93,0.18,cloudy
2023-02-04,TN,89.5,60.1,0.0,0.0,sunny
2023-02-04,WA,40.9,40.7,0.05,0.05,partly_cloudy
2023-02-04,CT,63.2,67.6,0.03,0.51,partly_cloudy
2023-02-04,CA,86.4,46.4,0.0,0.0,snowy
2023-02-05,HI,69.7,30.6,0.26,0.0,sunny
2023-02-05,NY,71.9,46.5,0.0,0.0,rainy
2023-02-05,SC,87.2,64.5,0.27,0.61,rainy
2023-02-05,MP,78.4,26.9,0.39,0.0,cloudy
2023-02-05,AR,37.9,62.7,0.0,0.12,cloudy
2023-02-05,AZ,61.0,43.9,0.08,0.0,snowy
2023-02-05,TN,62.7,48.0,0.31,0.0,cloudy
2023-02-05,WA,62.2,82.9,0.05,0.02,snowy
2023-02-05,CT,42.3,16.4,0.28,0.0,cloudy
2023-02-05,CA,61.1,36.4,0.0,0.0,sunny
2023-02-06,HI,59.0,64.9,0.0,0.0,cloudy
2023-02-06,NY,74.5,30.5,0.0,0.07,rainy
2023-02-06,SC,44.9,52.3,0.0,0.0,partly_cloudy
2023-02-06,MP,77.9,34.3,0.0,0.06,partly_cloudy
2023-02-06,AR,54.2,65.4,0.0,0.0,cloudy
2023-02-06,AZ,95.8,45.3,0.16,0.58,rainy
2023-02-06,TN,104.5,48.8,0.0,0.0,cloudy
2023-02-06,WA,88.6,26.3,0.16,0.99,rainy
2023-02-06,CT,75.9,48.6,0.0,0.32,snowy
2023-02-06,CA,79.4,26.0,0.01,0.0,rainy
2023-02-07,HI,65.0,67.7,0.3,0.0,sunny
2023-02-07,NY,75.2,57.3,0.0,0.0,snowy
2023-02-07,SC,37.1,27.8,0.23,0.5,rainy
2023-02-07,MP,74.3,48.8,0.23,0.0,partly_cloudy
2023-02-07,AR,54.1,47.2,0.3,0.0,sunny
2023-02-07,AZ,59.5,50.1,0.53,0.74,sunny
2023-02-07,TN,61.9,68.4,0.4,0.0,cloudy
2023-02-07,WA,54.1,61.1,0.21,0.0,rainy
2023-02-07,CT,51.8,54.7,0.58,0.0,sunny
2023-02-07,CA,109.6,52.7,0.19,0.1,rainy
2023-02-08,HI,87.1,55.7,0.06,0.22,rainy
2023-02-08,NY,61.9,49.1,0.17,0.53,snowy
2023-02-08,SC,98.8,37.6,0.18,0.95,rainy
2023-02-08,MP,76.3,64.3,0.0,0.0,cloudy
2023-02-08,AR,68.6,54.0,0.27,0.0,snowy
2023-02-08,AZ,21.9,63.9,0.0,0.0,snowy
2023-02-08,TN,70.5,54.3,0.1,0.14,rainy
2023-02-08,WA,60.8,97.4,0.0,1.19,sunny
2023-02-08,CT,41.1,62.1,0.0,0.52,rainy
2023-02-08,CA,68.6,46.8,0.43,0.54,cloudy
2023-02-09,HI,69.7,34.0,0.0,0.0,rainy
2023-02-09,NY,53.2,57.4,0.0,0.15,rainy
2023-02-09,SC,75.4,65.2,0.0,0.0,cloudy
2023-02-09,MP,73.5,91.8,0.04,0.0,partly_cloudy
2023-02-09,AR,73.8,50.6,0.68,0.47,sunny
2023-02-09,AZ,40.9,64.7,0.53,0.16,cloudy
2023-02-09,TN,59.4,43.0,0.52,0.03,partly_cloudy
2023-02-09,WA,76.5,36.2,0.41,0.15,cloudy
2023-02-09,CT,88.1,47.2,0.53,0.4,cloudy
2023-02-09,CA,75.8,37.1,0.61,0.04,partly_cloudy
2023-02-10,HI,112.3,73.5,0.04,0.0,snowy
2023-02-10,NY,40.3,58.2,0.47,0.0,sunny
2023-02-10,SC,61.9,40.5,0.0,0.23,rainy
2023-02-10,MP,103.0,85.0,0.35,0.05,rainy
2023-02-10,AR,65.9,19.2,0.34,0.0,partly_cloudy
2023-02-10,AZ,105.3,39.1,0.0,0.0,snowy
2023-02-10,TN,75.7,35.1,0.04,0.0,cloudy
2023-02-10,WA,77.2,48.5,0.4,0.32,rainy
2023-02-10,CT,72.0,72.1,0.25,0.0,sunny
2023-02-10,CA,70.8,51.1,0.0,0.88,snowy
2023-02-11,HI,94.5,53.0,0.37,0.0,cloudy
2023-02-11,NY,57.2,46.6,0.0,0.73,cloudy
2023-02-11,SC,85.0,54.6,0.06,0.04,sunny
2023-02-11,MP,54.6,61.2,0.52,0.0,partly_cloudy
2023-02-11,AR,65.1,37.9,0.53,0.64,cloudy
2023-02-11,AZ,94.4,48.4,0.0,0.0,sunny
2023-02-11,TN,89.3,53.4,0.07,1.29,cloudy
2023-02-11,WA,94.1,31.4,0.25,0.06,rainy
2023-02-11,CT,65.7,63.1,0.52,0.0,snowy
2023-02-11,CA,63.6,33.3,0.04,0.0,rainy
2023-02-12,HI,92.0,10.9,0.64,0.34,rainy
2023-02-12,NY,66.9,42.6,0.0,1.14,rainy
2023-02-12,SC,78.5,19.5,0.18,0.09,snowy
2023-02-12,MP,38.5,73.0,0.0,0.0,cloudy
2023-02-12,AR,109.5,38.1,0.33,0.03,sunny
2023-02-12,AZ,75.7,39.6,0.45,0.0,partly_cloudy
2023-02-12,TN,83.6,69.4,0.0,0.24,snowy
2023-02-12,WA,56.2,65.4,0.0,0.0,rainy
2023-02-12,CT,80.2,51.0,0.56,0.24,sunny
2023-02-12,CA,62.3,66.9,0.0,0.0,snowy
2023-02-13,HI,52.9,66.4,0.08,0.38,snowy
2023-02-13,NY,71.6,78.2,0.18,0.73,snowy
2023-02-13,SC,78.2,-9.7,0.0,0.36,partly_cloudy
2023-02-13,MP,84.0,41.9,0.0,0.62,partly_cloudy
2023-02-13,AR,76.8,63.7,0.0,0.0,cloudy
2023-02-13,AZ,55.2,2.1,0.0,0.0,snowy
2023-02-13,TN,36.2,31.0,0.04,0.0,cloudy
2023-02-13,WA,38.4,45.3,0.6,0.0,snowy
2023-02-13,CT,46.3,50.5,0.35,0.0,cloudy
2023-02-13,CA,68.0,83.2,0.07,0.0,snowy
2023-02-14,HI,63.2,39.0,0.43,0.0,rainy
2023-02-14,NY,47.7,50.4,0.0,0.0,snowy
2023-02-14,SC,87.8,59.0,0.33,0.0,cloudy
2023-02-14,MP,70.8,33.0,0.44,0.0,snowy
2023-02-14,AR,55.2,37.2,0.35,0.27,rainy
2023-02-14,AZ,93.0,27.1,0.0,0.0,sunny
2023-02-14,TN,85.6,25.0,0.28,0.45,sunny
